user_id,game_type,level,accuracy,response_time,mistakes,score,recommended_difficulty
U009,memory,1,87,32.96,6,75.01,medium
U009,attention,2,50,29.26,1,55.22,easy
U009,recall,1,94,20.71,3,86.59,hard
U009,recall,2,59,30.15,3,59.25,easy
U009,attention,1,82,13.21,5,78.44,medium
U009,pattern,1,89,15.54,8,79.64,medium
U009,recall,3,93,22.48,0,88.36,hard
U009,memory,2,51,23.68,4,54.6,easy
U010,memory,1,78,19.73,5,73.68,medium
U010,recall,3,72,11.12,3,74.06,medium
U010,pattern,1,85,19.77,8,75.57,medium
U010,attention,2,67,9.89,5,68.93,medium
U010,pattern,3,94,11.36,4,88.39,hard
U010,pattern,3,66,16.81,4,67.16,medium
U010,attention,1,66,25.95,6,62.41,medium
U010,attention,3,76,16.13,8,70.36,medium
U010,memory,2,58,13.67,5,61.5,medium
U010,recall,2,68,26.24,8,61.73,medium
U011,recall,3,50,25.79,4,53.26,easy
U011,pattern,1,92,33.7,3,81.29,hard
U011,pattern,1,91,13.38,0,89.69,hard
U011,memory,1,70,24.5,1,70.65,medium
U011,recall,2,96,25.0,3,86.7,hard
U011,recall,2,65,14.59,0,71.12,medium
U011,memory,2,54,12.75,8,55.97,easy
U011,recall,1,75,14.73,1,77.08,medium
U011,recall,1,91,20.55,8,79.53,medium
U011,pattern,2,79,30.01,8,68.3,medium
U012,recall,3,68,32.22,7,60.93,medium
U012,recall,2,88,14.68,4,83.2,hard
U012,recall,3,55,15.41,1,62.88,medium
U012,pattern,1,57,17.07,8,56.78,easy
U012,memory,1,49,14.24,2,58.03,easy
U012,attention,1,66,19.01,8,62.5,medium
U012,recall,2,43,13.58,6,50.03,easy
U012,recall,3,84,8.53,6,80.24,hard
U012,recall,1,62,16.06,6,62.58,medium
U012,recall,3,87,27.84,3,79.55,medium
U013,recall,1,57,19.77,0,63.97,medium
U013,recall,2,82,26.34,6,73.5,medium
U013,attention,2,98,11.45,8,87.16,hard
U013,memory,2,77,23.24,0,76.93,medium
U013,memory,3,67,11.66,7,66.4,medium
U013,attention,1,56,18.24,3,60.73,medium
U013,recall,2,61,28.55,6,58.13,easy
U013,pattern,2,56,30.54,7,53.04,easy
U013,memory,3,74,9.41,5,73.98,medium
U013,attention,3,44,29.09,0,52.07,easy
U014,memory,1,52,30.66,2,55.2,easy
U014,attention,1,70,26.08,3,68.18,medium
U014,recall,3,56,28.71,2,58.59,easy
U014,memory,1,59,10.92,0,68.02,medium
U014,pattern,3,83,32.52,6,72.34,medium
U014,recall,3,52,10.05,3,60.38,medium
U014,memory,3,89,16.14,1,86.46,hard
U014,memory,2,74,19.57,5,70.93,medium
U014,memory,3,81,17.21,6,75.54,medium
U014,recall,1,67,33.94,7,59.72,easy
U015,attention,2,51,27.81,4,53.36,easy
U015,recall,2,67,30.29,4,63.81,medium
U015,pattern,1,93,33.23,4,81.13,hard
U015,recall,1,88,20.55,6,79.44,medium
U015,pattern,1,71,30.98,2,68.41,medium
U015,recall,1,62,29.54,5,59.54,easy
U015,pattern,3,84,31.76,8,71.27,medium
U015,memory,3,52,10.31,6,57.31,easy
U015,recall,3,88,14.49,7,80.25,hard
U015,recall,2,90,8.47,4,86.46,hard
U016,attention,2,84,14.57,5,79.43,medium
U016,recall,3,73,17.28,8,67.92,medium
U016,pattern,2,84,20.25,4,78.72,medium
U016,pattern,1,47,27.47,5,49.66,easy
U016,memory,3,74,33.67,2,69.7,medium
U016,attention,1,87,21.07,8,76.58,medium
U016,pattern,1,93,13.24,3,88.13,hard
U016,pattern,1,59,8.38,8,60.79,medium
U016,attention,2,42,34.31,8,41.11,easy
U016,pattern,3,48,25.22,7,49.03,easy
U017,memory,1,76,15.68,7,71.5,medium
U017,recall,2,51,34.07,4,51.48,easy
U017,recall,1,92,9.76,7,84.47,hard
U017,memory,3,80,26.53,2,76.04,medium
U017,attention,3,59,10.3,3,65.21,medium
U017,memory,3,88,19.24,3,82.83,hard
U017,recall,2,98,19.95,6,86.61,hard
U017,pattern,3,79,9.63,1,81.41,hard
U017,attention,3,53,15.15,1,61.55,medium
U017,attention,1,51,22.9,2,56.83,easy
U018,memory,2,68,26.61,7,62.62,medium
U018,pattern,1,54,15.78,4,59.07,easy
U018,recall,1,83,14.3,4,79.81,medium
U018,attention,2,47,22.7,2,54.09,easy
U018,pattern,1,44,9.61,4,53.92,easy
U018,pattern,2,47,20.65,4,52.7,easy
U018,recall,2,72,22.58,7,66.63,medium
U018,memory,3,42,32.01,5,44.8,easy
U018,pattern,1,45,14.18,0,57.25,easy
U018,pattern,3,42,28.6,2,48.82,easy
U019,recall,3,81,19.94,4,76.72,medium
U019,attention,3,67,25.14,7,62.36,medium
U019,memory,2,62,19.03,5,62.69,medium
U019,memory,1,61,19.11,7,59.97,easy
U019,pattern,3,65,29.97,8,58.51,easy
U019,memory,2,45,16.49,5,51.55,easy
U019,memory,2,95,21.89,0,89.93,hard
U019,recall,2,43,13.06,5,51.18,easy
U019,recall,3,68,28.52,3,66.04,medium
U019,pattern,3,48,33.05,7,46.68,easy
U020,recall,1,41,34.27,3,45.42,easy
U020,attention,2,75,8.37,6,73.99,medium
U020,memory,1,93,32.65,7,78.3,medium
U020,memory,3,93,12.16,4,87.45,hard
U020,pattern,2,93,21.03,7,81.79,hard
U020,attention,2,75,11.91,3,75.93,medium
U020,attention,1,57,28.86,6,55.24,easy
U020,pattern,3,57,30.15,4,56.86,easy
U020,pattern,3,77,34.97,7,66.41,medium
U020,attention,2,74,21.08,5,70.48,medium
U021,recall,2,60,31.48,3,59.56,easy
U021,recall,1,94,28.94,0,87.12,hard
U021,pattern,3,70,27.04,6,64.89,medium
U021,recall,3,90,30.16,2,81.95,hard
U021,recall,1,48,21.56,5,52.13,easy
U021,memory,2,46,22.2,7,48.54,easy
U021,memory,3,49,19.07,2,56.58,easy
U021,memory,2,90,34.17,5,77.75,medium
U021,recall,3,45,31.0,8,44.2,easy
U021,recall,2,80,27.41,7,70.78,medium
U022,memory,3,44,14.34,4,52.5,easy
U022,attention,3,45,19.72,1,54.58,easy
U022,memory,2,50,26.74,0,56.98,easy
U022,memory,2,90,9.52,5,85.14,hard
U022,pattern,2,49,14.59,6,53.92,easy
U022,attention,1,51,10.13,6,56.66,easy
U022,attention,2,98,23.75,3,88.47,hard
U022,recall,3,56,20.41,0,63.08,medium
U022,recall,2,83,22.76,1,80.27,hard
U022,recall,2,77,16.08,6,73.08,medium
U023,pattern,2,94,16.16,6,84.95,hard
U023,recall,1,55,18.3,5,58.01,easy
U023,pattern,3,58,8.59,6,62.02,medium
U023,pattern,1,76,31.36,0,73.79,medium
U023,recall,2,89,29.57,5,78.43,medium
U023,attention,3,52,24.76,2,56.97,easy
U023,memory,3,81,9.06,7,76.98,medium
U023,memory,3,63,27.77,1,64.77,medium
U023,pattern,2,87,19.22,3,82.13,hard
U023,attention,3,96,34.23,8,78.93,medium
U024,pattern,1,56,32.68,7,52.4,easy
U024,pattern,3,95,17.15,1,90.36,hard
U024,recall,1,49,28.36,3,52.79,easy
U024,recall,3,63,10.44,6,64.97,medium
U024,memory,2,74,11.34,5,73.4,medium
U024,pattern,3,64,30.21,5,60.74,medium
U024,memory,3,54,20.73,8,53.58,easy
U024,pattern,3,54,25.49,7,53.15,easy
U024,pattern,3,66,11.15,0,72.85,medium
U024,memory,2,71,11.14,3,73.36,medium
U025,attention,2,69,18.02,8,64.89,medium
U025,recall,3,87,27.62,6,76.61,medium
U025,memory,2,79,19.02,4,75.59,medium
U025,memory,3,63,13.87,7,62.94,medium
U025,attention,2,46,34.49,5,46.85,easy
U025,pattern,1,65,15.45,1,69.87,medium
U025,recall,1,82,13.73,0,83.28,hard
U025,memory,2,55,34.7,3,55.09,easy
U025,memory,3,53,23.83,3,56.95,easy
U025,pattern,1,90,32.31,0,83.31,hard
U026,pattern,1,48,22.59,2,54.82,easy
U026,memory,3,95,8.7,0,93.89,hard
U026,pattern,1,77,16.74,2,76.88,medium
U026,pattern,1,48,28.03,8,47.19,easy
U026,memory,3,44,20.86,5,49.54,easy
U026,memory,2,72,13.98,0,76.21,medium
U026,pattern,2,81,34.03,0,76.49,medium
U026,recall,2,67,26.52,7,61.94,medium
U026,recall,1,97,10.18,2,92.85,hard
U026,memory,1,57,24.86,8,54.44,easy
U027,pattern,2,78,22.33,7,70.9,medium
U027,recall,1,90,26.95,8,76.91,medium
U027,attention,2,68,31.98,6,62.01,medium
U027,pattern,2,65,19.23,1,68.73,medium
U027,pattern,2,60,25.96,5,59.21,easy
U027,attention,3,70,9.81,1,75.06,medium
U027,memory,2,46,28.1,5,48.77,easy
U027,attention,3,43,23.83,8,44.95,easy
U027,pattern,3,47,19.09,6,51.17,easy
U027,memory,2,78,16.44,1,78.67,medium
U028,attention,1,82,21.02,1,80.09,hard
U028,pattern,3,63,11.1,4,66.77,medium
U028,attention,2,94,23.15,8,80.86,hard
U028,memory,3,82,30.4,4,74.28,medium
U028,memory,1,57,26.97,4,57.81,easy
U028,pattern,2,40,12.9,2,52.13,easy
U028,recall,1,49,28.01,0,55.9,easy
U028,memory,3,73,13.81,6,70.96,medium
U028,recall,2,50,17.99,5,54.6,easy
U028,memory,1,49,12.25,0,60.62,medium
U029,memory,2,68,25.87,7,62.84,medium
U029,recall,2,57,13.82,8,57.75,easy
U029,memory,2,67,10.99,7,66.6,medium
U029,pattern,1,54,18.67,0,62.2,medium
U029,memory,1,59,33.52,2,59.24,easy
U029,pattern,2,60,11.24,7,61.63,medium
U029,recall,1,48,18.27,3,55.12,easy
U029,pattern,1,65,31.27,0,66.12,medium
U029,recall,1,69,32.87,5,63.44,medium
U029,recall,3,65,27.16,6,61.35,medium
U030,pattern,1,65,8.56,5,67.93,medium
U030,attention,3,69,30.46,5,64.16,medium
U030,memory,2,94,10.86,6,86.54,hard
U030,recall,3,45,18.69,4,51.89,easy
U030,pattern,1,61,29.04,1,62.99,medium
U030,memory,3,72,13.24,5,71.43,medium
U030,pattern,3,92,25.43,2,84.77,hard
U030,attention,1,49,14.91,2,57.83,easy
U030,attention,3,44,12.78,7,49.97,easy
U030,recall,3,88,23.65,5,79.5,medium
U031,pattern,1,68,9.84,7,67.65,medium
U031,pattern,2,77,9.52,8,73.04,medium
U031,memory,2,69,20.2,0,72.24,medium
U031,pattern,2,44,25.41,1,52.18,easy
U031,recall,2,77,22.97,0,77.01,medium
U031,recall,3,81,13.08,7,75.78,medium
U031,attention,1,68,10.79,5,69.36,medium
U031,memory,3,81,12.66,3,79.9,medium
U031,recall,2,73,22.11,2,72.47,medium
U031,pattern,2,98,15.64,6,87.91,hard
U032,pattern,3,78,9.41,5,76.78,medium
U032,memory,2,46,23.07,6,49.28,easy
U032,pattern,2,86,30.99,2,78.9,medium
U032,pattern,1,77,25.92,5,71.12,medium
U032,pattern,3,84,25.88,2,79.04,medium
U032,memory,2,75,18.17,5,72.05,medium
U032,attention,3,84,30.38,8,71.69,medium
U032,memory,3,82,19.43,5,76.57,medium
U032,memory,2,59,12.87,3,64.44,medium
U032,pattern,2,52,14.12,2,60.16,medium
U033,attention,1,58,30.8,1,60.36,medium
U033,memory,3,61,31.66,2,61.2,medium
U033,recall,1,50,12.88,2,59.14,easy
U033,recall,1,66,17.84,3,67.85,medium
U033,recall,3,58,28.31,7,55.11,easy
U033,attention,3,55,16.36,7,56.59,easy
U033,attention,2,83,33.57,7,71.03,medium
U033,recall,2,89,18.31,8,78.81,medium
U033,recall,1,92,13.39,2,88.38,hard
U033,pattern,1,81,20.98,5,75.41,medium
U034,memory,3,94,21.93,1,88.22,hard
U034,pattern,1,88,12.33,7,80.9,hard
U034,attention,2,45,33.55,3,48.44,easy
U034,recall,2,41,19.2,6,46.94,easy
U034,pattern,1,64,34.85,5,59.34,easy
U034,attention,1,60,33.13,5,57.06,easy
U034,attention,1,42,15.75,7,47.67,easy
U034,attention,3,70,20.11,0,72.97,medium
U034,memory,1,56,13.82,2,63.05,medium
U034,recall,1,89,15.78,4,83.57,hard
U035,memory,1,55,19.34,7,55.7,easy
U035,memory,1,93,32.44,8,77.37,medium
U035,memory,3,72,23.53,2,71.34,medium
U035,pattern,2,40,24.6,3,47.62,easy
U035,recall,1,82,26.04,8,71.59,medium
U035,pattern,1,73,22.69,8,66.29,medium
U035,memory,2,95,20.69,6,84.29,hard
U035,pattern,2,87,8.44,1,87.37,hard
U035,pattern,1,86,25.74,1,81.48,hard
U035,pattern,1,42,17.51,5,49.15,easy
U036,attention,3,69,34.48,7,60.96,medium
U036,attention,1,44,27.33,7,45.6,easy
U036,memory,2,52,9.18,3,60.65,medium
U036,memory,2,59,21.92,8,56.72,easy
U036,recall,2,42,28.34,3,47.9,easy
U036,pattern,2,95,29.08,5,82.78,hard
U036,pattern,1,91,17.94,6,82.32,hard
U036,recall,2,61,34.29,7,55.41,easy
U036,recall,2,91,22.02,1,86.09,hard
U036,recall,1,67,24.27,2,67.62,medium
U037,pattern,2,46,10.16,4,55.15,easy
U037,pattern,2,78,27.38,2,74.39,medium
U037,recall,2,68,9.14,5,69.86,medium
U037,recall,2,80,34.46,0,75.66,medium
U037,memory,3,80,18.97,8,72.31,medium
U037,attention,1,49,30.91,7,48.03,easy
U037,memory,1,44,14.37,5,51.49,easy
U037,pattern,2,76,8.87,2,78.54,medium
U037,recall,2,63,19.99,1,67.1,medium
U037,attention,3,63,18.75,4,64.47,medium
U038,attention,1,41,27.86,7,43.34,easy
U038,recall,3,47,15.07,4,54.38,easy
U038,recall,1,79,15.71,7,73.59,medium
U038,attention,1,48,31.03,7,47.29,easy
U038,attention,3,68,34.93,5,62.12,medium
U038,pattern,3,44,22.85,4,49.94,easy
U038,pattern,1,85,27.16,2,79.35,medium
U038,pattern,3,54,11.28,3,61.42,medium
U038,attention,1,90,21.34,5,81.6,hard
U038,pattern,2,91,34.54,2,81.34,hard
U039,memory,1,59,18.75,7,58.67,easy
U039,recall,2,92,23.52,2,85.34,hard
U039,pattern,3,44,20.15,8,46.75,easy
U039,pattern,1,96,30.38,8,80.09,hard
U039,attention,1,67,21.58,0,70.43,medium
U039,memory,3,49,16.21,2,57.44,easy
U039,pattern,3,54,17.34,8,54.6,easy
U039,pattern,1,56,13.3,8,57.21,easy
U039,pattern,1,80,16.18,8,73.15,medium
U039,memory,3,81,12.55,2,80.94,hard
U040,attention,3,79,27.46,5,72.06,medium
U040,memory,1,45,9.23,4,54.73,easy
U040,attention,3,66,24.69,0,68.79,medium
U040,recall,3,74,15.82,4,73.05,medium
U040,recall,1,91,29.8,6,78.76,medium
U040,pattern,2,44,26.59,2,50.82,easy
U040,recall,2,70,20.54,5,67.84,medium
U040,attention,2,95,27.4,5,83.28,hard
U040,recall,1,88,18.0,8,78.2,medium
U040,memory,2,55,20.59,4,58.32,easy
U041,recall,1,49,10.61,4,57.12,easy
U041,recall,3,66,14.7,2,69.79,medium
U041,pattern,3,86,16.44,2,83.27,hard
U041,recall,3,69,21.47,4,67.86,medium
U041,recall,1,45,33.52,8,43.44,easy
U041,recall,1,53,23.75,0,59.97,easy
U041,memory,2,71,24.13,7,65.46,medium
U041,pattern,3,40,30.87,6,42.74,easy
U041,attention,2,86,17.88,6,78.84,medium
U041,pattern,1,65,9.38,8,64.69,medium
U042,attention,2,75,15.79,6,71.76,medium
U042,recall,3,57,30.28,1,59.82,easy
U042,attention,1,65,18.08,5,65.08,medium
U042,pattern,1,52,24.27,6,53.12,easy
U042,memory,1,42,11.7,5,50.89,easy
U042,recall,3,69,12.02,8,66.69,medium
U042,attention,2,79,16.6,6,74.32,medium
U042,pattern,3,61,21.7,8,58.19,easy
U042,recall,3,76,16.09,0,78.37,medium
U042,pattern,2,83,10.96,6,78.81,medium
U043,pattern,3,95,26.58,0,88.53,hard
U043,recall,2,81,29.14,3,74.96,medium
U043,memory,3,70,12.6,6,69.22,medium
U043,attention,3,55,8.85,1,64.84,medium
U043,attention,1,68,16.47,2,70.66,medium
U043,recall,3,53,19.08,7,54.38,easy
U043,memory,3,48,22.0,8,49.0,easy
U043,pattern,3,70,22.19,5,67.34,medium
U043,attention,2,98,22.39,8,83.88,hard
U043,pattern,3,89,31.43,4,78.87,medium
U044,recall,1,55,15.53,4,59.84,easy
U044,attention,2,89,15.8,3,84.56,hard
U044,recall,2,70,17.42,4,69.77,medium
U044,pattern,1,76,26.27,6,69.32,medium
U044,recall,2,89,29.72,4,79.38,medium
U044,memory,2,85,10.13,7,79.46,medium
U044,pattern,3,70,13.78,8,66.87,medium
U044,pattern,3,84,15.33,1,83.2,hard
U044,attention,1,43,26.09,8,44.27,easy
U044,attention,3,54,9.42,6,58.97,easy
U045,pattern,3,70,10.71,2,73.79,medium
U045,memory,3,50,18.99,7,52.3,easy
U045,recall,3,52,28.41,4,53.88,easy
U045,pattern,2,81,9.6,1,82.82,hard
U045,attention,3,87,27.52,0,82.64,hard
U045,attention,2,96,30.62,0,88.01,hard
U045,recall,2,51,33.29,4,51.71,easy
U045,memory,1,59,23.33,1,63.3,medium
U045,pattern,2,69,34.71,8,59.89,easy
U045,recall,1,94,21.61,4,85.32,hard
U046,attention,1,61,12.39,7,61.98,medium
U046,pattern,3,51,8.38,5,58.19,easy
U046,pattern,3,83,28.45,2,77.56,medium
U046,recall,2,72,16.85,6,69.34,medium
U046,memory,1,48,20.89,3,54.33,easy
U046,memory,2,64,14.36,4,66.49,medium
U046,pattern,2,77,27.52,0,75.64,medium
U046,pattern,3,63,26.7,0,66.09,medium
U046,memory,2,59,12.31,8,59.61,easy
U046,pattern,3,47,25.25,4,51.33,easy
U047,pattern,3,54,13.92,2,61.62,medium
U047,recall,1,69,28.19,5,64.84,medium
U047,recall,3,75,32.65,8,64.7,medium
U047,attention,1,83,28.38,1,78.59,medium
U047,recall,3,85,17.77,1,83.17,hard
U047,memory,3,97,21.65,8,83.41,hard
U047,attention,1,60,31.07,7,55.68,easy
U047,memory,3,53,27.36,7,51.89,easy
U047,memory,3,68,29.83,7,61.65,medium
U047,attention,3,66,20.33,0,70.1,medium
U048,recall,3,91,16.32,0,88.8,hard
U048,recall,2,92,8.08,3,88.98,hard
U048,memory,1,67,17.3,1,70.71,medium
U048,memory,1,70,8.86,6,70.34,medium
U048,attention,1,89,25.32,6,78.7,medium
U048,pattern,2,68,31.48,6,62.16,medium
U048,recall,1,83,34.03,8,69.89,medium
U048,attention,3,95,17.39,2,89.28,hard
U048,recall,3,48,27.65,3,52.3,easy
U048,memory,1,59,20.5,8,57.15,easy
U049,recall,3,64,30.23,3,62.73,medium
U049,recall,2,49,15.44,1,58.67,easy
U049,memory,3,66,24.6,0,68.82,medium
U049,attention,1,44,10.72,0,57.58,easy
U049,recall,3,83,26.99,0,80.0,hard
U049,attention,3,42,18.86,3,50.74,easy
U049,attention,1,48,21.61,4,53.12,easy
U049,attention,3,76,16.61,5,73.22,medium
U049,attention,2,96,11.87,8,85.64,hard
U049,attention,2,59,15.43,8,58.67,easy
U050,attention,3,83,19.53,7,75.24,medium
U050,memory,2,81,26.13,8,70.86,medium
U050,pattern,3,66,19.02,4,66.49,medium
U050,recall,1,88,22.52,3,81.84,hard
U050,attention,2,94,27.1,7,80.67,hard
U050,memory,3,66,34.13,8,57.96,easy
U050,attention,2,55,14.88,5,59.04,easy
U050,memory,2,94,18.02,8,82.39,hard
U050,attention,1,57,18.18,0,64.45,medium
U050,memory,1,91,28.57,8,77.13,medium
U051,attention,2,53,31.48,5,52.66,easy
U051,pattern,1,53,33.3,1,56.11,easy
U051,recall,1,84,24.32,3,78.5,medium
U051,recall,1,75,16.68,4,73.5,medium
U051,recall,2,74,25.52,4,70.14,medium
U051,pattern,2,72,31.84,7,63.85,medium
U051,memory,3,70,28.56,5,65.43,medium
U051,attention,2,60,19.18,3,63.25,medium
U051,attention,1,56,22.94,6,56.32,easy
U051,pattern,1,52,16.91,6,55.33,easy
U052,attention,2,75,25.67,5,69.8,medium
U052,pattern,2,86,25.33,7,75.6,medium
U052,recall,1,86,29.46,2,79.36,medium
U052,attention,3,74,21.18,8,67.45,medium
U052,memory,3,42,30.65,1,49.2,easy
U052,memory,1,66,11.71,3,69.69,medium
U052,memory,3,49,8.25,8,53.83,easy
U052,recall,2,43,24.68,7,45.7,easy
U052,recall,1,40,22.37,6,45.29,easy
U052,memory,1,73,27.5,8,64.85,medium
U053,pattern,1,72,29.96,6,65.41,medium
U053,attention,1,98,10.6,2,93.42,hard
U053,attention,1,79,22.21,5,73.64,medium
U053,pattern,2,45,18.07,6,50.08,easy
U053,recall,3,55,34.74,3,55.08,easy
U053,pattern,3,92,30.89,0,85.13,hard
U053,memory,2,64,18.18,7,62.35,medium
U053,memory,3,40,26.98,1,48.91,easy
U053,recall,2,81,29.18,1,76.95,medium
U053,memory,1,53,32.33,7,50.4,easy
U054,pattern,1,44,26.48,4,48.86,easy
U054,memory,1,94,16.49,3,87.85,hard
U054,attention,3,92,18.75,1,87.77,hard
U054,pattern,1,76,14.49,6,72.85,medium
U054,pattern,2,88,27.97,1,82.21,hard
U054,pattern,1,46,19.8,1,55.26,easy
U054,pattern,3,89,24.57,6,78.93,medium
U054,pattern,1,80,15.38,7,74.39,medium
U054,recall,1,62,22.93,6,60.52,medium
U054,recall,1,83,23.82,6,74.95,medium
U055,memory,3,58,29.55,1,60.73,medium
U055,memory,2,49,18.26,2,56.82,easy
U055,recall,2,63,10.88,0,70.84,medium
U055,pattern,2,63,28.56,1,64.53,medium
U055,attention,1,51,19.64,8,51.81,easy
U055,recall,1,41,10.42,8,47.57,easy
U055,memory,3,78,29.18,6,69.85,medium
U055,memory,2,66,18.47,1,69.66,medium
U055,attention,3,73,12.58,6,71.33,medium
U055,attention,1,57,16.13,7,58.06,easy
U056,attention,1,50,19.74,6,53.08,easy
U056,pattern,2,90,10.08,4,85.98,hard
U056,attention,3,80,21.39,3,76.58,medium
U056,recall,1,48,16.23,6,52.73,easy
U056,pattern,3,64,29.71,5,60.89,medium
U056,recall,2,67,30.02,2,65.89,medium
U056,pattern,2,78,33.58,3,71.53,medium
U056,recall,2,51,34.04,5,50.49,easy
U056,pattern,3,84,25.09,3,78.27,medium
U056,pattern,2,57,30.05,6,54.88,easy
U057,pattern,1,76,13.39,8,71.18,medium
U057,attention,3,89,22.85,7,78.44,medium
U057,attention,2,91,15.87,1,87.94,hard
U057,recall,3,71,11.76,4,72.17,medium
U057,attention,2,82,12.16,6,77.75,medium
U057,recall,1,68,34.75,7,60.17,medium
U057,recall,3,72,32.93,6,64.52,medium
U057,memory,2,84,32.18,8,71.15,medium
U057,memory,1,89,14.7,5,82.89,hard
U057,attention,3,79,9.2,6,76.54,medium
U058,pattern,2,46,8.28,4,55.72,easy
U058,attention,3,87,22.01,3,81.3,hard
U058,recall,2,65,20.5,8,61.35,medium
U058,attention,2,41,21.03,4,48.39,easy
U058,recall,1,47,30.45,2,51.77,easy
U058,pattern,2,61,20.29,3,63.61,medium
U058,recall,2,70,10.64,7,68.81,medium
U058,pattern,1,59,9.21,1,67.54,medium
U058,memory,2,81,10.95,2,81.41,hard
U058,attention,3,51,22.9,5,53.83,easy
U059,recall,2,54,29.54,2,56.94,easy
U059,attention,3,82,19.67,0,81.5,hard
U059,attention,2,77,19.6,0,78.02,medium
U059,attention,1,57,28.31,1,60.41,medium
U059,memory,3,51,17.88,3,57.34,easy
U059,recall,1,56,26.11,7,54.37,easy
U059,pattern,3,64,24.51,1,66.45,medium
U059,pattern,2,94,20.36,2,87.69,hard
U059,pattern,3,77,10.29,2,78.81,medium
U059,pattern,1,55,16.25,2,61.62,medium
U060,pattern,3,49,21.79,6,51.76,easy
U060,attention,3,64,19.42,7,61.97,medium
U060,attention,3,50,21.22,2,56.63,easy
U060,attention,2,93,20.18,0,89.05,hard
U060,pattern,1,71,11.69,6,70.19,medium
U060,recall,2,83,21.28,7,74.72,medium
U060,recall,1,45,23.27,3,51.52,easy
U060,pattern,1,57,14.07,4,61.68,medium
